policy_idx,iteration,request_id,action,resource,expected,actual
0,1,allow_fba1a9d1,s3:PutObject,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
0,1,allow_9e2bc345,s3:GetBucketLocation,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
0,1,allow_a703d77b,s3:PutObject,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
0,1,allow_a703d77b,s3:PutBucketPolicy,arn:aws:s3:::athena-query-results/temp/upload.tmp,allow,deny
0,1,allow_bba1017f,athena:GetQueryExecution,arn:aws:s3:::bkt_logs/document.txt,allow,deny
0,1,allow_bba1017f,athena:GetQueryExecution,arn:aws:s3:::bkt_logs/logs/app.log,allow,deny
0,1,allow_dd7bb142,athena:GetTableMetadata,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
0,1,allow_7b93d441,s3:PutObject,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
0,1,allow_21cc8c69,s3:GetBucketLocation,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
0,1,allow_21cc8c69,s3:GetBucketLocation,arn:aws:s3:::bkt_logs/logs/app.log,allow,deny
0,1,allow_21cc8c69,athena:GetQueryExecution,arn:aws:s3:::my-bucket/document.txt,allow,deny
0,1,allow_21cc8c69,athena:GetQueryExecution,arn:aws:s3:::bkt_logs/logs/app.log,allow,deny
0,2,allow_a703d77b,s3:PutBucketPolicy,arn:aws:s3:::athena-query-results/temp/upload.tmp,allow,deny
3,1,allow_c5858bb6,iot:RemoveThingFromThingGroup,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
7,1,allow_dbc30e09,s3:PutBucketPolicy,arn:aws:s3:::bucket/logs/app.log,allow,deny
7,1,allow_9455e817,s3:ListBucket,arn:aws:s3:::bucket/data/file.json,allow,deny
7,1,allow_9455e817,s3:ListBucket,arn:aws:s3:::bucket/temp/upload.tmp,allow,deny
7,1,allow_a5e8cbaf,s3:GetBucketLocation,arn:aws:s3:::bucket/data/file.json,allow,deny
7,1,allow_a5e8cbaf,s3:GetBucketLocation,arn:aws:s3:::bucket/temp/upload.tmp,allow,deny
7,1,allow_6e901f8a,s3:PutObject,arn:aws:s3:::bucket,allow,deny
7,1,allow_bf7b1d47,s3:DeleteObject,arn:aws:s3:::bucket,allow,deny
7,1,allow_db5c8b6b,s3:GetObject,arn:aws:s3:::bucket,allow,deny
7,1,allow_4adfe7f5,s3:GetBucketAcl,arn:aws:s3:::bucket/logs/app.log,allow,deny
7,1,allow_4adfe7f5,s3:GetBucketAcl,arn:aws:s3:::bucket/data/file.json,allow,deny
7,1,allow_f19b5d54,s3:GetBucketLocation,arn:aws:s3:::bucket/logs/app.log,allow,deny
7,1,allow_81143e37,s3:DeleteObject,arn:aws:s3:::bucket,allow,deny
7,1,allow_a164e863,s3:PutBucketPolicy,arn:aws:s3:::bucket/logs/app.log,allow,deny
7,1,allow_76568f08,s3:CreateBucket,arn:aws:s3:::bucket/document.txt,allow,deny
7,1,allow_76568f08,s3:CreateBucket,arn:aws:s3:::bucket/data/file.json,allow,deny
7,1,allow_6ac95e14,s3:GetBucketAcl,arn:aws:s3:::bucket/logs/app.log,allow,deny
7,1,allow_9fa210d8,s3:DeleteObject,arn:aws:s3:::bucket,allow,deny
7,1,allow_1fbaaff1,s3:GetBucketLocation,arn:aws:s3:::bucket/data/file.json,allow,deny
7,1,allow_75fe7cb0,s3:PutBucketPolicy,arn:aws:s3:::bucket/data/file.json,allow,deny
7,1,allow_75fe7cb0,s3:PutBucketPolicy,arn:aws:s3:::bucket/temp/upload.tmp,allow,deny
7,1,allow_af614ebd,s3:DeleteBucket,arn:aws:s3:::bucket/temp/upload.tmp,allow,deny
8,1,allow_d096014c,s3:PutBucketPolicy,arn:aws:s3:::bucket/document.txt,allow,deny
8,1,allow_d096014c,s3:PutBucketPolicy,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
8,1,allow_adf25d5e,s3:ListBucket,arn:aws:s3:::my-bucket/document.txt,allow,deny
8,1,allow_38fcb31e,s3:DeleteObject,arn:aws:s3:::bucket,allow,deny
