policy_idx,iteration,request_id,action,resource,expected,actual
0,1,allow_af76cff0,s3:GetBucketLocation,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
0,1,allow_5ece3571,s3:DeleteBucket,arn:aws:s3:::athena-query-results/logs/app.log,allow,deny
0,1,allow_78dbbc4a,kms:DescribeKey,arn:aws:s3:::bkt_logs/data/file.json,allow,deny
0,1,allow_78dbbc4a,athena:StartQueryExecution,arn:aws:s3:::bkt_logs/data/file.json,allow,deny
0,1,allow_78dbbc4a,athena:StopQueryExecution,arn:aws:s3:::bkt_logs/data/file.json,allow,deny
0,1,allow_c51a9dbe,kms:CreateGrant,arn:aws:s3:::bkt_logs/document.txt,allow,deny
4,1,allow_261ced25,s3:CreateBucket,arn:aws:s3:::*/data/file.json,allow,deny
4,1,allow_261ced25,s3:ListBucket,arn:aws:s3:::*/data/file.json,allow,deny
7,1,allow_45fa3678,s3:PutBucketPolicy,arn:aws:s3:::bucket/data/file.json,allow,deny
7,1,allow_696f5543,s3:DeleteObject,arn:aws:s3:::bucket,allow,deny
7,1,allow_0eefc9fe,s3:DeleteObject,arn:aws:s3:::bucket,allow,deny
7,1,allow_3e206d10,s3:PutBucketPolicy,arn:aws:s3:::bucket/temp/upload.tmp,allow,deny
7,1,allow_3e206d10,s3:PutBucketPolicy,arn:aws:s3:::bucket/data/file.json,allow,deny
7,2,allow_696f5543,s3:DeleteObject,arn:aws:s3:::bucket,allow,deny
7,2,allow_0eefc9fe,s3:DeleteObject,arn:aws:s3:::bucket,allow,deny
9,1,deny_2f3a3174,kms:CreateKey,arn:aws:s3:::forbidden-bucket/*,deny,allow
9,1,deny_2f3a3174,kms:DeleteAlias,arn:aws:s3:::forbidden-bucket/*,deny,allow
9,1,deny_2f3a3174,kms:Encrypt,arn:aws:s3:::forbidden-bucket/*,deny,allow
