index,status,final_accuracy,iterations_used,iteration_results,final_policy_file
0,success,100.0,1,"[{'policy_idx': 0, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 30, 'correct': 30, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-30/policy_0_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-30/repaired_0_final.json
1,success,100.0,1,"[{'policy_idx': 1, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 30, 'correct': 30, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-30/policy_1_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-30/repaired_1_final.json
2,success,100.0,1,"[{'policy_idx': 2, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 30, 'correct': 30, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-30/policy_2_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-30/repaired_2_final.json
3,success,100.0,1,"[{'policy_idx': 3, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 30, 'correct': 30, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-30/policy_3_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-30/repaired_3_final.json
4,success,100.0,1,"[{'policy_idx': 4, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 30, 'correct': 30, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-30/policy_4_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-30/repaired_4_final.json
5,success,100.0,1,"[{'policy_idx': 5, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 30, 'correct': 30, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-30/policy_5_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-30/repaired_5_final.json
6,success,100.0,1,"[{'policy_idx': 6, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 30, 'correct': 30, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-30/policy_6_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-30/repaired_6_final.json
7,success,100.0,1,"[{'policy_idx': 7, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 30, 'correct': 30, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-30/policy_7_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-30/repaired_7_final.json
8,failed,86.7,5,"[{'policy_idx': 8, 'iteration': 1, 'accuracy': 86.7, 'total_requests': 30, 'correct': 26, 'incorrect': 4, 'misclassified_allow_to_deny': 4, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-30/policy_8_iter_1.json'}, {'policy_idx': 8, 'iteration': 2, 'accuracy': 86.7, 'total_requests': 30, 'correct': 26, 'incorrect': 4, 'misclassified_allow_to_deny': 4, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-30/policy_8_iter_2.json'}, {'policy_idx': 8, 'iteration': 3, 'accuracy': 86.7, 'total_requests': 30, 'correct': 26, 'incorrect': 4, 'misclassified_allow_to_deny': 4, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-30/policy_8_iter_3.json'}, {'policy_idx': 8, 'iteration': 4, 'accuracy': 86.7, 'total_requests': 30, 'correct': 26, 'incorrect': 4, 'misclassified_allow_to_deny': 4, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-30/policy_8_iter_4.json'}, {'policy_idx': 8, 'iteration': 5, 'accuracy': 86.7, 'total_requests': 30, 'correct': 26, 'incorrect': 4, 'misclassified_allow_to_deny': 4, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-30/policy_8_iter_5.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-30/repaired_8_best.json
9,success,100.0,1,"[{'policy_idx': 9, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 30, 'correct': 30, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-30/policy_9_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-30/repaired_9_final.json
