policy_name,policy_index,policy_file,statement_index,statement_id,is_faulty,accuracy,total_requests,failed_requests,statement_effect,statement_action,statement_resource
policy_0_iter_1.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50-ollamaa/policy_0_iter_1.json,1,allow_45942859,True,50.0,50,25,Allow,"['athena:GetWorkGroup', 'kms:CreateGrant']","['arn:aws:glue:us-east-1:123456789012:table/my-database/my-table', 'arn:aws:s3:::my-bucket/document.txt']"
policy_0_iter_1.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50-ollamaa/policy_0_iter_1.json,2,allow_b2a152f8,True,48.0,50,26,Allow,"['athena:BatchGetQueryExecution', 'athena:GetDatabase']","['arn:aws:s3:::my-bucket/document.txt', 'arn:aws:s3:::athena-query-results/logs/app.log']"
policy_0_iter_1.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50-ollamaa/policy_0_iter_1.json,3,allow_55367f92,True,44.0,50,28,Allow,['s3:DeleteObject'],"['arn:aws:s3:::bkt_logs/document.txt', 'arn:aws:s3:::my-bucket/document.txt']"
policy_0_iter_1.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50-ollamaa/policy_0_iter_1.json,4,allow_1af45114,True,42.0,50,29,Allow,['glue:GetDatabase'],['arn:aws:glue:us-east-1:123456789012:table/my-database/my-table']
policy_0_iter_1.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50-ollamaa/policy_0_iter_1.json,5,allow_1f7e24bf,True,46.0,50,27,Allow,"['s3:DeleteObject', 's3:CreateBucket', 'athena:BatchGetQueryExecution']",['arn:aws:glue:us-east-1:123456789012:table/my-database/my-table']
policy_0_iter_1.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50-ollamaa/policy_0_iter_1.json,6,allow_900399e9,True,46.0,50,27,Allow,"['s3:DeleteObject', 's3:GetBucketLocation', 'athena:GetQueryResults']",['arn:aws:s3:::athena-query-results/temp/upload.tmp']
policy_0_iter_1.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50-ollamaa/policy_0_iter_1.json,7,allow_a314ffbf,True,42.0,50,29,Allow,['athena:GetQueryExecution'],['arn:aws:s3:::bkt_logs/temp/upload.tmp']
policy_0_iter_1.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50-ollamaa/policy_0_iter_1.json,8,allow_57e8bf3b,True,42.0,50,29,Allow,['kms:CreateGrant'],['arn:aws:s3:::athena-query-results/data/file.json']
policy_0_iter_1.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50-ollamaa/policy_0_iter_1.json,9,allow_ad3ef0aa,True,46.0,50,27,Allow,"['athena:GetWorkGroup', 's3:GetBucketLocation']",['arn:aws:s3:::my-bucket/document.txt']
policy_0_iter_1.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50-ollamaa/policy_0_iter_1.json,10,allow_8c98a227,True,46.0,50,27,Allow,['athena:BatchGetQueryExecution'],"['arn:aws:s3:::athena-query-results/document.txt', 'arn:aws:athena:us-east-1:123456789012:workgroup/primary']"
policy_0_iter_1.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50-ollamaa/policy_0_iter_1.json,11,allow_ae3b2ceb,True,48.0,50,26,Allow,"['athena:BatchGetQueryExecution', 'athena:GetQueryResultsStream']","['arn:aws:athena:us-east-1:123456789012:workgroup/primary', 'arn:aws:s3:::athena-query-results/temp/upload.tmp']"
policy_0_iter_1.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50-ollamaa/policy_0_iter_1.json,12,allow_8d9e3103,True,46.0,50,27,Allow,['glue:GetPartitions'],"['arn:aws:s3:::bkt_logs/document.txt', 'arn:aws:s3:::athena-query-results/logs/app.log', 'arn:aws:s3:::athena-query-results/temp/upload.tmp']"
policy_0_iter_1.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50-ollamaa/policy_0_iter_1.json,13,deny_b611c65a,True,40.0,50,30,Deny,['athena:GetDatabase'],['arn:aws:s3:::athena-query-results-forbidden/file.txt']
policy_0_iter_1.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50-ollamaa/policy_0_iter_1.json,14,deny_b14b8f5d,True,40.0,50,30,Deny,['kms:Encrypt'],['arn:aws:athena:us-east-1:123456789012:workgroup/primary']
policy_0_iter_1.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50-ollamaa/policy_0_iter_1.json,15,deny_f227f7d3,True,40.0,50,30,Deny,['athena:DeleteWorkGroup'],['arn:aws:s3:::athena-query-results/temp/upload.tmp']
policy_0_iter_1.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50-ollamaa/policy_0_iter_1.json,16,deny_5de551a9,True,40.0,50,30,Deny,"['s3:GetBucketLocation', 'athena:GetQueryResultsStream']",['arn:aws:s3:::athena-query-results-forbidden/file.txt']
