Metric,Value
Policy Name,policy_2_iter_1.json
Policy Index,
Policy File,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50-ollamaa/policy_2_iter_1.json
Requests File,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/requests/request-50/2.json
,
Total Statements Analyzed,27
Faulty Statements,27
Working Statements,0
Statement-level Policy Health (%),0.0
,
Total Individual Requests,1350
Correct Classifications,601
Incorrect Classifications,749
Overall Accuracy (%),44.5
