Metric,Value
Policy Name,policy_1_iter_1.json
Policy Index,
Policy File,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50-ollamaa/policy_1_iter_1.json
Requests File,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/requests/request-50/1.json
,
Total Statements Analyzed,22
Faulty Statements,22
Working Statements,0
Statement-level Policy Health (%),0.0
,
Total Individual Requests,1100
Correct Classifications,504
Incorrect Classifications,596
Overall Accuracy (%),45.8
