Metric,Value
Policy Name,policy_4_iter_5.json
Policy Index,
Policy File,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50-ollamaa/policy_4_iter_5.json
Requests File,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/requests/request-50/4.json
,
Total Statements Analyzed,23
Faulty Statements,23
Working Statements,0
Statement-level Policy Health (%),0.0
,
Total Individual Requests,1150
Correct Classifications,493
Incorrect Classifications,657
Overall Accuracy (%),42.9
