Metric,Value
Policy Name,policy_3_iter_1.json
Policy Index,
Policy File,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50-ollamaa/policy_3_iter_1.json
Requests File,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/requests/request-50/3.json
,
Total Statements Analyzed,28
Faulty Statements,28
Working Statements,0
Statement-level Policy Health (%),0.0
,
Total Individual Requests,1400
Correct Classifications,593
Incorrect Classifications,807
Overall Accuracy (%),42.4
