Metric,Value
Policy Name,policy_6_iter_5.json
Policy Index,
Policy File,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50-ollamaa/policy_6_iter_5.json
Requests File,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/requests/request-50/6.json
,
Total Statements Analyzed,16
Faulty Statements,16
Working Statements,0
Statement-level Policy Health (%),0.0
,
Total Individual Requests,800
Correct Classifications,325
Incorrect Classifications,475
Overall Accuracy (%),40.6
