Metric,Value
Policy Name,policy_0_iter_1.json
Policy Index,
Policy File,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50-ollamaa/policy_0_iter_1.json
Requests File,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/requests/request-50/0.json
,
Total Statements Analyzed,25
Faulty Statements,25
Working Statements,0
Statement-level Policy Health (%),0.0
,
Total Individual Requests,1250
Correct Classifications,533
Incorrect Classifications,717
Overall Accuracy (%),42.6
