policy_idx,iteration,request_id,action,resource,expected,actual
0,1,allow_e5b7466e,s3:GetBucketLocation,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
0,1,allow_99798741,s3:ListBucket,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
0,1,allow_99798741,s3:GetObject,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
0,1,deny_f51c8ce9,athena:GetDatabase,arn:aws:iam::123456789012:role/admin-role,deny,allow
3,1,allow_fe8baaac,iot:CreatePolicy,arn:aws:s3:::my-bucket/document.txt,allow,deny
3,1,allow_fe8baaac,iot:CreatePolicy,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
3,1,allow_f1b08834,iot:CreatePolicy,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
7,1,allow_5357d2cb,s3:PutObject,arn:aws:s3:::bucket,allow,deny
7,1,allow_8ae4198a,s3:PutObject,arn:aws:s3:::bucket,allow,deny
7,1,allow_979ff1ef,s3:GetObject,arn:aws:s3:::bucket,allow,deny
7,1,allow_9f24b1ef,s3:ListBucket,arn:aws:s3:::bucket/document.txt,allow,deny
7,1,allow_5df388f1,s3:GetBucketAcl,arn:aws:s3:::bucket/temp/upload.tmp,allow,deny
7,1,allow_5df388f1,s3:GetBucketAcl,arn:aws:s3:::bucket/logs/app.log,allow,deny
7,1,allow_95d1ea7d,s3:GetBucketLocation,arn:aws:s3:::bucket/data/file.json,allow,deny
7,1,allow_cdf29fee,s3:DeleteObject,arn:aws:s3:::bucket,allow,deny
7,1,allow_c9937967,s3:GetBucketLocation,arn:aws:s3:::bucket/logs/app.log,allow,deny
7,1,allow_c9937967,s3:GetBucketLocation,arn:aws:s3:::bucket/document.txt,allow,deny
7,1,allow_22395051,s3:DeleteBucket,arn:aws:s3:::bucket/temp/upload.tmp,allow,deny
7,1,allow_f6bdaadc,s3:PutObject,arn:aws:s3:::bucket,allow,deny
7,1,allow_7cfc9768,s3:PutObject,arn:aws:s3:::bucket,allow,deny
7,1,allow_b97f4881,s3:DeleteBucket,arn:aws:s3:::bucket/data/file.json,allow,deny
7,1,allow_8b8fadd4,s3:DeleteBucket,arn:aws:s3:::bucket/document.txt,allow,deny
7,1,allow_8b8fadd4,s3:DeleteBucket,arn:aws:s3:::bucket/logs/app.log,allow,deny
7,1,allow_a06fbcf1,s3:DeleteBucket,arn:aws:s3:::bucket/data/file.json,allow,deny
7,1,allow_4d6b33af,s3:GetBucketLocation,arn:aws:s3:::bucket/document.txt,allow,deny
7,1,allow_22b7459e,s3:PutBucketPolicy,arn:aws:s3:::bucket/document.txt,allow,deny
7,1,allow_dcbc4ca8,s3:CreateBucket,arn:aws:s3:::bucket/document.txt,allow,deny
7,1,allow_dcbc4ca8,s3:CreateBucket,arn:aws:s3:::bucket/logs/app.log,allow,deny
7,1,allow_b5195e74,s3:PutObject,arn:aws:s3:::bucket,allow,deny
7,1,allow_3de9a990,s3:GetBucketAcl,arn:aws:s3:::bucket/temp/upload.tmp,allow,deny
7,1,allow_3cc9cef9,s3:CreateBucket,arn:aws:s3:::bucket/logs/app.log,allow,deny
7,1,allow_977619fd,s3:GetObject,arn:aws:s3:::bucket,allow,deny
7,1,allow_615d97b4,s3:DeleteObject,arn:aws:s3:::bucket,allow,deny
7,1,allow_7791e5a1,s3:GetBucketLocation,arn:aws:s3:::bucket/logs/app.log,allow,deny
7,1,allow_90234ad2,s3:CreateBucket,arn:aws:s3:::bucket/logs/app.log,allow,deny
7,1,allow_948a278f,s3:PutObject,arn:aws:s3:::bucket,allow,deny
7,1,allow_fff7e589,s3:GetBucketLocation,arn:aws:s3:::bucket/logs/app.log,allow,deny
7,1,allow_8aa56e2a,s3:GetObject,arn:aws:s3:::bucket,allow,deny
8,1,allow_70879e22,s3:ListBucket,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
8,1,allow_70879e22,s3:PutBucketPolicy,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
8,1,allow_d64be8ec,s3:GetObject,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
8,1,allow_3e2a7d29,s3:PutObject,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
8,1,allow_3e2a7d29,s3:GetObject,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
8,1,allow_db1ff744,s3:PutObject,arn:aws:s3:::bucket,allow,deny
8,1,allow_db1ff744,s3:PutObject,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
8,1,allow_9598548c,s3:DeleteObject,arn:aws:s3:::bucket,allow,deny
8,1,allow_f330265e,s3:ListBucket,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
8,1,allow_f330265e,s3:PutObject,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
8,1,allow_f330265e,s3:GetBucketLocation,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
8,1,allow_dcd58bf2,s3:DeleteObject,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
8,1,allow_0fa3c20b,s3:PutObject,arn:aws:s3:::bucket,allow,deny
8,1,allow_d62ffd7c,s3:PutBucketPolicy,arn:aws:s3:::bucket/logs/app.log,allow,deny
8,1,allow_db9d70e3,s3:GetBucketAcl,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
8,1,allow_dfab7b90,s3:GetBucketLocation,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
8,1,allow_dc93fa9f,s3:PutObject,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
8,1,allow_dc93fa9f,s3:DeleteBucket,arn:aws:s3:::bucket/data/file.json,allow,deny
8,1,allow_dc93fa9f,s3:DeleteBucket,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
8,1,allow_dc93fa9f,s3:DeleteBucket,arn:aws:s3:::bucket/logs/app.log,allow,deny
8,1,allow_ef908e50,s3:GetBucketLocation,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
8,1,allow_ef908e50,s3:GetBucketLocation,arn:aws:s3:::my-bucket/document.txt,allow,deny
8,1,allow_6c365822,s3:DeleteObject,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
8,1,allow_6c365822,s3:PutBucketPolicy,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
8,1,allow_979c88bf,s3:DeleteBucket,arn:aws:s3:::bucket/data/file.json,allow,deny
9,1,allow_b5da09e1,kms:ListGrants,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
9,1,allow_df27b73d,kms:Decrypt,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
