index,status,final_accuracy,iterations_used,iteration_results,final_policy_file
0,success,100.0,1,"[{'policy_idx': 0, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 10, 'correct': 10, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-20/policy_0_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-20/repaired_0_final.json
1,success,100.0,1,"[{'policy_idx': 1, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 10, 'correct': 10, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-20/policy_1_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-20/repaired_1_final.json
2,success,100.0,1,"[{'policy_idx': 2, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 10, 'correct': 10, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-20/policy_2_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-20/repaired_2_final.json
3,success,100.0,1,"[{'policy_idx': 3, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 10, 'correct': 10, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-20/policy_3_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-20/repaired_3_final.json
4,success,100.0,1,"[{'policy_idx': 4, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 10, 'correct': 10, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-20/policy_4_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-20/repaired_4_final.json
5,success,100.0,1,"[{'policy_idx': 5, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 10, 'correct': 10, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-20/policy_5_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-20/repaired_5_final.json
6,success,100.0,1,"[{'policy_idx': 6, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 10, 'correct': 10, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-20/policy_6_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-20/repaired_6_final.json
7,failed,60.0,5,"[{'policy_idx': 7, 'iteration': 1, 'accuracy': 60.0, 'total_requests': 10, 'correct': 6, 'incorrect': 4, 'misclassified_allow_to_deny': 4, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-20/policy_7_iter_1.json'}, {'policy_idx': 7, 'iteration': 2, 'accuracy': 60.0, 'total_requests': 10, 'correct': 6, 'incorrect': 4, 'misclassified_allow_to_deny': 4, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-20/policy_7_iter_2.json'}, {'policy_idx': 7, 'iteration': 3, 'accuracy': 60.0, 'total_requests': 10, 'correct': 6, 'incorrect': 4, 'misclassified_allow_to_deny': 4, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-20/policy_7_iter_3.json'}, {'policy_idx': 7, 'iteration': 4, 'accuracy': 60.0, 'total_requests': 10, 'correct': 6, 'incorrect': 4, 'misclassified_allow_to_deny': 4, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-20/policy_7_iter_4.json'}, {'policy_idx': 7, 'iteration': 5, 'accuracy': 60.0, 'total_requests': 10, 'correct': 6, 'incorrect': 4, 'misclassified_allow_to_deny': 4, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-20/policy_7_iter_5.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-20/repaired_7_best.json
8,success,100.0,1,"[{'policy_idx': 8, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 10, 'correct': 10, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-20/policy_8_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-20/repaired_8_final.json
9,success,100.0,1,"[{'policy_idx': 9, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 10, 'correct': 10, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-20/policy_9_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-20/repaired_9_final.json
