index,status,final_accuracy,iterations_used,iteration_accuracies,iteration_results,final_policy_file
0,success,100.0,2,"[68.0, 100.0]","[{'policy_idx': 0, 'iteration': 1, 'accuracy': 68.0, 'total_requests': 50, 'correct': 34, 'incorrect': 16, 'misclassified_allow_to_deny': 16, 'misclassified_deny_to_allow': 0, 'failed_examples_count': 16, 'failed_examples': [{'request_id': 'allow_c1b30720', 'action': 's3:CreateBucket', 'resource': 'arn:aws:athena:us-east-1:123456789012:workgroup/primary', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_c1b30720', 'action': 's3:ListBucket', 'resource': 'arn:aws:athena:us-east-1:123456789012:workgroup/primary', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_c1b30720', 'action': 'athena:GetDatabase', 'resource': 'arn:aws:s3:::my-bucket/document.txt', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_ecf3e72f', 'action': 's3:GetBucketLocation', 'resource': 'arn:aws:athena:us-east-1:123456789012:workgroup/primary', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_ecf3e72f', 'action': 's3:DeleteObject', 'resource': 'arn:aws:athena:us-east-1:123456789012:workgroup/primary', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_b95264ae', 'action': 'athena:GetQueryExecution', 'resource': 'arn:aws:s3:::bkt_logs/data/file.json', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_9c2e653f', 'action': 'athena:StopQueryExecution', 'resource': 'arn:aws:glue:us-east-1:123456789012:table/my-database/my-table', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_9c2e653f', 'action': 'athena:StopQueryExecution', 'resource': 'arn:aws:s3:::bkt_logs/temp/upload.tmp', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_9c2e653f', 'action': 's3:GetBucketLocation', 'resource': 'arn:aws:athena:us-east-1:123456789012:workgroup/primary', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_9c2e653f', 'action': 's3:GetBucketLocation', 'resource': 'arn:aws:glue:us-east-1:123456789012:table/my-database/my-table', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_ca3cc698', 'action': 'athena:GetQueryResults', 'resource': 'arn:aws:s3:::bkt_logs/document.txt', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_ca3cc698', 'action': 'athena:GetDatabase', 'resource': 'arn:aws:s3:::bkt_logs/document.txt', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_62987474', 'action': 'athena:StopQueryExecution', 'resource': 'arn:aws:s3:::athena-query-results/temp/upload.tmp', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_4cceccae', 'action': 's3:GetObject', 'resource': 'arn:aws:athena:us-east-1:123456789012:workgroup/primary', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_4cceccae', 'action': 's3:GetObject', 'resource': 'arn:aws:glue:us-east-1:123456789012:table/my-database/my-table', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_1ecee360', 'action': 's3:GetBucketAcl', 'resource': 'arn:aws:athena:us-east-1:123456789012:workgroup/primary', 'expected': 'allow', 'actual': 'deny'}], 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50/policy_0_iter_1.json'}, {'policy_idx': 0, 'iteration': 2, 'accuracy': 100.0, 'total_requests': 50, 'correct': 50, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'failed_examples_count': 0, 'failed_examples': [], 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50/policy_0_iter_2.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/results/result-50/repaired_0_final.json
1,success,100.0,1,[100.0],"[{'policy_idx': 1, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 50, 'correct': 50, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'failed_examples_count': 0, 'failed_examples': [], 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50/policy_1_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/results/result-50/repaired_1_final.json
2,success,100.0,1,[100.0],"[{'policy_idx': 2, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 50, 'correct': 50, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'failed_examples_count': 0, 'failed_examples': [], 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50/policy_2_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/results/result-50/repaired_2_final.json
3,success,100.0,1,[100.0],"[{'policy_idx': 3, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 50, 'correct': 50, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'failed_examples_count': 0, 'failed_examples': [], 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50/policy_3_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/results/result-50/repaired_3_final.json
4,success,100.0,1,[100.0],"[{'policy_idx': 4, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 50, 'correct': 50, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'failed_examples_count': 0, 'failed_examples': [], 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50/policy_4_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/results/result-50/repaired_4_final.json
5,success,100.0,1,[100.0],"[{'policy_idx': 5, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 50, 'correct': 50, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'failed_examples_count': 0, 'failed_examples': [], 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50/policy_5_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/results/result-50/repaired_5_final.json
6,success,100.0,1,[100.0],"[{'policy_idx': 6, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 50, 'correct': 50, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'failed_examples_count': 0, 'failed_examples': [], 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50/policy_6_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/results/result-50/repaired_6_final.json
7,success,100.0,1,[100.0],"[{'policy_idx': 7, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 50, 'correct': 50, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'failed_examples_count': 0, 'failed_examples': [], 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50/policy_7_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/results/result-50/repaired_7_final.json
8,success,100.0,4,"[70.0, 98.0, 90.0, 100.0]","[{'policy_idx': 8, 'iteration': 1, 'accuracy': 70.0, 'total_requests': 50, 'correct': 35, 'incorrect': 15, 'misclassified_allow_to_deny': 15, 'misclassified_deny_to_allow': 0, 'failed_examples_count': 15, 'failed_examples': [{'request_id': 'allow_99f0a1c0', 'action': 's3:DeleteBucket', 'resource': 'arn:aws:s3:::bucket/logs/app.log', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_99f0a1c0', 'action': 's3:DeleteBucket', 'resource': 'arn:aws:glue:us-east-1:123456789012:table/my-database/my-table', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_99f0a1c0', 'action': 's3:CreateBucket', 'resource': 'arn:aws:s3:::bucket/logs/app.log', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_99f0a1c0', 'action': 's3:CreateBucket', 'resource': 'arn:aws:glue:us-east-1:123456789012:table/my-database/my-table', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_a90cdf0e', 'action': 's3:PutObject', 'resource': 'arn:aws:s3:::bucket', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_3de9ae28', 'action': 's3:DeleteObject', 'resource': 'arn:aws:s3:::bucket', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_3de9ae28', 'action': 's3:DeleteObject', 'resource': 'arn:aws:athena:us-east-1:123456789012:workgroup/primary', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_3de9ae28', 'action': 's3:GetObject', 'resource': 'arn:aws:s3:::bucket', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_3de9ae28', 'action': 's3:GetObject', 'resource': 'arn:aws:athena:us-east-1:123456789012:workgroup/primary', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_8ba7a127', 'action': 's3:GetBucketLocation', 'resource': 'arn:aws:athena:us-east-1:123456789012:workgroup/primary', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_9d28a4f3', 'action': 's3:GetObject', 'resource': 'arn:aws:glue:us-east-1:123456789012:table/my-database/my-table', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_9d28a4f3', 'action': 's3:GetObject', 'resource': 'arn:aws:athena:us-east-1:123456789012:workgroup/primary', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_bb1a1d51', 'action': 's3:PutBucketPolicy', 'resource': 'arn:aws:glue:us-east-1:123456789012:table/my-database/my-table', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_42c15574', 'action': 's3:DeleteBucket', 'resource': 'arn:aws:s3:::bucket/temp/upload.tmp', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_56ba4314', 'action': 's3:GetObject', 'resource': 'arn:aws:athena:us-east-1:123456789012:workgroup/primary', 'expected': 'allow', 'actual': 'deny'}], 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50/policy_8_iter_1.json'}, {'policy_idx': 8, 'iteration': 2, 'accuracy': 98.0, 'total_requests': 50, 'correct': 49, 'incorrect': 1, 'misclassified_allow_to_deny': 1, 'misclassified_deny_to_allow': 0, 'failed_examples_count': 1, 'failed_examples': [{'request_id': 'allow_42c15574', 'action': 's3:ListAllMyBuckets', 'resource': 'arn:aws:s3:::bucket/temp/upload.tmp', 'expected': 'allow', 'actual': 'deny'}], 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50/policy_8_iter_2.json'}, {'policy_idx': 8, 'iteration': 3, 'accuracy': 90.0, 'total_requests': 50, 'correct': 45, 'incorrect': 5, 'misclassified_allow_to_deny': 5, 'misclassified_deny_to_allow': 0, 'failed_examples_count': 5, 'failed_examples': [{'request_id': 'allow_99f0a1c0', 'action': 's3:DeleteBucket', 'resource': 'arn:aws:s3:::bucket/logs/app.log', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_99f0a1c0', 'action': 's3:DeleteBucket', 'resource': 'arn:aws:glue:us-east-1:123456789012:table/my-database/my-table', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_99f0a1c0', 'action': 's3:CreateBucket', 'resource': 'arn:aws:s3:::bucket/logs/app.log', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_99f0a1c0', 'action': 's3:CreateBucket', 'resource': 'arn:aws:glue:us-east-1:123456789012:table/my-database/my-table', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_42c15574', 'action': 's3:DeleteBucket', 'resource': 'arn:aws:s3:::bucket/temp/upload.tmp', 'expected': 'allow', 'actual': 'deny'}], 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50/policy_8_iter_3.json'}, {'policy_idx': 8, 'iteration': 4, 'accuracy': 100.0, 'total_requests': 50, 'correct': 50, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'failed_examples_count': 0, 'failed_examples': [], 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50/policy_8_iter_4.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/results/result-50/repaired_8_final.json
9,success,100.0,1,[100.0],"[{'policy_idx': 9, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 50, 'correct': 50, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'failed_examples_count': 0, 'failed_examples': [], 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50/policy_9_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/results/result-50/repaired_9_final.json
