index,status,final_accuracy,iterations_used,iteration_accuracies,iteration_results,final_policy_file
0,success,100.0,2,"[93.3, 100.0]","[{'policy_idx': 0, 'iteration': 1, 'accuracy': 93.3, 'total_requests': 30, 'correct': 28, 'incorrect': 2, 'misclassified_allow_to_deny': 2, 'misclassified_deny_to_allow': 0, 'failed_examples_count': 2, 'failed_examples': [{'request_id': 'allow_a7cb7f00', 'action': 's3:ListBucket', 'resource': 'arn:aws:glue:us-east-1:123456789012:table/my-database/my-table', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_c811ae6d', 'action': 's3:GetBucketLocation', 'resource': 'arn:aws:glue:us-east-1:123456789012:table/my-database/my-table', 'expected': 'allow', 'actual': 'deny'}], 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-30/policy_0_iter_1.json'}, {'policy_idx': 0, 'iteration': 2, 'accuracy': 100.0, 'total_requests': 30, 'correct': 30, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'failed_examples_count': 0, 'failed_examples': [], 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-30/policy_0_iter_2.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/results/result-30/repaired_0_final.json
1,success,100.0,1,[100.0],"[{'policy_idx': 1, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 30, 'correct': 30, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'failed_examples_count': 0, 'failed_examples': [], 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-30/policy_1_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/results/result-30/repaired_1_final.json
2,success,100.0,1,[100.0],"[{'policy_idx': 2, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 30, 'correct': 30, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'failed_examples_count': 0, 'failed_examples': [], 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-30/policy_2_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/results/result-30/repaired_2_final.json
3,success,100.0,1,[100.0],"[{'policy_idx': 3, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 30, 'correct': 30, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'failed_examples_count': 0, 'failed_examples': [], 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-30/policy_3_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/results/result-30/repaired_3_final.json
4,success,100.0,2,"[93.3, 100.0]","[{'policy_idx': 4, 'iteration': 1, 'accuracy': 93.3, 'total_requests': 30, 'correct': 28, 'incorrect': 2, 'misclassified_allow_to_deny': 2, 'misclassified_deny_to_allow': 0, 'failed_examples_count': 2, 'failed_examples': [{'request_id': 'allow_046e09a3', 'action': 's3:CreateBucket', 'resource': 'arn:aws:s3:::*/document.txt', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_33495986', 'action': 's3:GetBucketAcl', 'resource': 'arn:aws:s3:::*/temp/upload.tmp', 'expected': 'allow', 'actual': 'deny'}], 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-30/policy_4_iter_1.json'}, {'policy_idx': 4, 'iteration': 2, 'accuracy': 100.0, 'total_requests': 30, 'correct': 30, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'failed_examples_count': 0, 'failed_examples': [], 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-30/policy_4_iter_2.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/results/result-30/repaired_4_final.json
5,success,100.0,1,[100.0],"[{'policy_idx': 5, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 30, 'correct': 30, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'failed_examples_count': 0, 'failed_examples': [], 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-30/policy_5_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/results/result-30/repaired_5_final.json
6,success,100.0,1,[100.0],"[{'policy_idx': 6, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 30, 'correct': 30, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'failed_examples_count': 0, 'failed_examples': [], 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-30/policy_6_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/results/result-30/repaired_6_final.json
7,success,100.0,1,[100.0],"[{'policy_idx': 7, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 30, 'correct': 30, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'failed_examples_count': 0, 'failed_examples': [], 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-30/policy_7_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/results/result-30/repaired_7_final.json
8,success,100.0,2,"[86.7, 100.0]","[{'policy_idx': 8, 'iteration': 1, 'accuracy': 86.7, 'total_requests': 30, 'correct': 26, 'incorrect': 4, 'misclassified_allow_to_deny': 4, 'misclassified_deny_to_allow': 0, 'failed_examples_count': 4, 'failed_examples': [{'request_id': 'allow_484da217', 'action': 's3:ListBucket', 'resource': 'arn:aws:s3:::my-bucket/document.txt', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_c4d97c5e', 'action': 's3:PutBucketPolicy', 'resource': 'arn:aws:s3:::my-bucket/document.txt', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_c4d97c5e', 'action': 's3:PutBucketPolicy', 'resource': 'arn:aws:s3:::bucket/data/file.json', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_7e3e42cc', 'action': 's3:PutObject', 'resource': 'arn:aws:s3:::bucket', 'expected': 'allow', 'actual': 'deny'}], 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-30/policy_8_iter_1.json'}, {'policy_idx': 8, 'iteration': 2, 'accuracy': 100.0, 'total_requests': 30, 'correct': 30, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'failed_examples_count': 0, 'failed_examples': [], 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-30/policy_8_iter_2.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/results/result-30/repaired_8_final.json
9,success,100.0,1,[100.0],"[{'policy_idx': 9, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 30, 'correct': 30, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'failed_examples_count': 0, 'failed_examples': [], 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-30/policy_9_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/results/result-30/repaired_9_final.json
