index,status,final_accuracy,iterations_used,iteration_results,final_policy_file
0,failed,70.0,5,"[{'policy_idx': 0, 'iteration': 1, 'accuracy': 76.0, 'total_requests': 50, 'correct': 38, 'incorrect': 12, 'misclassified_allow_to_deny': 12, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-50/policy_0_iter_1.json'}, {'policy_idx': 0, 'iteration': 2, 'accuracy': 70.0, 'total_requests': 50, 'correct': 35, 'incorrect': 15, 'misclassified_allow_to_deny': 15, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-50/policy_0_iter_2.json'}, {'policy_idx': 0, 'iteration': 3, 'accuracy': 70.0, 'total_requests': 50, 'correct': 35, 'incorrect': 15, 'misclassified_allow_to_deny': 15, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-50/policy_0_iter_3.json'}, {'policy_idx': 0, 'iteration': 4, 'accuracy': 70.0, 'total_requests': 50, 'correct': 35, 'incorrect': 15, 'misclassified_allow_to_deny': 15, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-50/policy_0_iter_4.json'}, {'policy_idx': 0, 'iteration': 5, 'accuracy': 70.0, 'total_requests': 50, 'correct': 35, 'incorrect': 15, 'misclassified_allow_to_deny': 15, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-50/policy_0_iter_5.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-50/repaired_0_best.json
1,success,100.0,1,"[{'policy_idx': 1, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 50, 'correct': 50, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-50/policy_1_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-50/repaired_1_final.json
2,success,100.0,1,"[{'policy_idx': 2, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 50, 'correct': 50, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-50/policy_2_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-50/repaired_2_final.json
3,success,100.0,1,"[{'policy_idx': 3, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 50, 'correct': 50, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-50/policy_3_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-50/repaired_3_final.json
4,success,100.0,1,"[{'policy_idx': 4, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 50, 'correct': 50, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-50/policy_4_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-50/repaired_4_final.json
5,success,100.0,1,"[{'policy_idx': 5, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 50, 'correct': 50, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-50/policy_5_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-50/repaired_5_final.json
6,success,100.0,1,"[{'policy_idx': 6, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 50, 'correct': 50, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-50/policy_6_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-50/repaired_6_final.json
7,failed,80.0,5,"[{'policy_idx': 7, 'iteration': 1, 'accuracy': 76.0, 'total_requests': 50, 'correct': 38, 'incorrect': 12, 'misclassified_allow_to_deny': 12, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-50/policy_7_iter_1.json'}, {'policy_idx': 7, 'iteration': 2, 'accuracy': 80.0, 'total_requests': 50, 'correct': 40, 'incorrect': 10, 'misclassified_allow_to_deny': 10, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-50/policy_7_iter_2.json'}, {'policy_idx': 7, 'iteration': 3, 'accuracy': 80.0, 'total_requests': 50, 'correct': 40, 'incorrect': 10, 'misclassified_allow_to_deny': 10, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-50/policy_7_iter_3.json'}, {'policy_idx': 7, 'iteration': 4, 'accuracy': 80.0, 'total_requests': 50, 'correct': 40, 'incorrect': 10, 'misclassified_allow_to_deny': 10, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-50/policy_7_iter_4.json'}, {'policy_idx': 7, 'iteration': 5, 'accuracy': 80.0, 'total_requests': 50, 'correct': 40, 'incorrect': 10, 'misclassified_allow_to_deny': 10, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-50/policy_7_iter_5.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-50/repaired_7_best.json
8,failed,92.0,5,"[{'policy_idx': 8, 'iteration': 1, 'accuracy': 92.0, 'total_requests': 50, 'correct': 46, 'incorrect': 4, 'misclassified_allow_to_deny': 4, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-50/policy_8_iter_1.json'}, {'policy_idx': 8, 'iteration': 2, 'accuracy': 92.0, 'total_requests': 50, 'correct': 46, 'incorrect': 4, 'misclassified_allow_to_deny': 4, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-50/policy_8_iter_2.json'}, {'policy_idx': 8, 'iteration': 3, 'accuracy': 92.0, 'total_requests': 50, 'correct': 46, 'incorrect': 4, 'misclassified_allow_to_deny': 4, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-50/policy_8_iter_3.json'}, {'policy_idx': 8, 'iteration': 4, 'accuracy': 92.0, 'total_requests': 50, 'correct': 46, 'incorrect': 4, 'misclassified_allow_to_deny': 4, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-50/policy_8_iter_4.json'}, {'policy_idx': 8, 'iteration': 5, 'accuracy': 92.0, 'total_requests': 50, 'correct': 46, 'incorrect': 4, 'misclassified_allow_to_deny': 4, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-50/policy_8_iter_5.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-50/repaired_8_best.json
9,success,100.0,1,"[{'policy_idx': 9, 'iteration': 1, 'accuracy': 100.0, 'total_requests': 50, 'correct': 50, 'incorrect': 0, 'misclassified_allow_to_deny': 0, 'misclassified_deny_to_allow': 0, 'policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-50/policy_9_iter_1.json'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-50/repaired_9_final.json
