Metric,Value
Policy Name,policy_6_iter_1.json
Policy Index,
Policy File,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_6_iter_1.json
Requests File,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/requests/request-25/6.json
,
Total Statements Analyzed,15
Faulty Statements,15
Working Statements,0
Statement-level Policy Health (%),0.0
,
Total Individual Requests,375
Correct Classifications,166
Incorrect Classifications,209
Overall Accuracy (%),44.3
