Metric,Value
Policy Name,policy_4_iter_1.json
Policy Index,
Policy File,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_4_iter_1.json
Requests File,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/requests/request-25/4.json
,
Total Statements Analyzed,14
Faulty Statements,14
Working Statements,0
Statement-level Policy Health (%),0.0
,
Total Individual Requests,350
Correct Classifications,159
Incorrect Classifications,191
Overall Accuracy (%),45.4
