Metric,Value
Policy Name,policy_2_iter_2.json
Policy Index,
Policy File,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_2_iter_2.json
Requests File,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/requests/request-25/2.json
,
Total Statements Analyzed,15
Faulty Statements,15
Working Statements,0
Statement-level Policy Health (%),0.0
,
Total Individual Requests,375
Correct Classifications,174
Incorrect Classifications,201
Overall Accuracy (%),46.4
