Metric,Value
Policy Name,policy_5_iter_2.json
Policy Index,
Policy File,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_5_iter_2.json
Requests File,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/requests/request-25/5.json
,
Total Statements Analyzed,17
Faulty Statements,17
Working Statements,0
Statement-level Policy Health (%),0.0
,
Total Individual Requests,425
Correct Classifications,237
Incorrect Classifications,188
Overall Accuracy (%),55.8
