policy_name,policy_index,policy_file,statement_index,statement_id,is_faulty,accuracy,total_requests,failed_requests,statement_effect,statement_action,statement_resource
policy_7_iter_1.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_7_iter_1.json,1,stmt1,True,92.0,25,2,Allow,['s3:*'],"['arn:aws:s3:::bucket', 'arn:aws:s3:::bucket/*']"
policy_7_iter_1.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_7_iter_1.json,2,allow_4193f4bf,True,52.0,25,12,Allow,['s3:GetBucketAcl'],"['arn:aws:s3:::bucket', 'arn:aws:s3:::bucket/temp/upload.tmp', 'arn:aws:s3:::bucket/data/file.json']"
policy_7_iter_1.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_7_iter_1.json,3,allow_a61e99d7,True,48.0,25,13,Allow,['s3:CreateBucket'],"['arn:aws:s3:::bucket', 'arn:aws:s3:::bucket/temp/upload.tmp']"
policy_7_iter_1.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_7_iter_1.json,4,allow_94546383,True,52.0,25,12,Allow,['s3:DeleteBucket'],"['arn:aws:s3:::bucket/logs/app.log', 'arn:aws:s3:::bucket/data/file.json', 'arn:aws:s3:::bucket/temp/upload.tmp']"
policy_7_iter_1.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_7_iter_1.json,5,allow_742d3572,True,48.0,25,13,Allow,['s3:PutObject'],"['arn:aws:s3:::bucket', 'arn:aws:s3:::bucket/document.txt']"
policy_7_iter_1.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_7_iter_1.json,6,allow_8e41fd6f,True,52.0,25,12,Allow,['s3:PutBucketPolicy'],"['arn:aws:s3:::bucket/logs/app.log', 'arn:aws:s3:::bucket/document.txt', 'arn:aws:s3:::bucket']"
policy_7_iter_1.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_7_iter_1.json,7,allow_c8ac2a77,True,48.0,25,13,Allow,['s3:CreateBucket'],"['arn:aws:s3:::bucket', 'arn:aws:s3:::bucket/logs/app.log']"
policy_7_iter_1.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_7_iter_1.json,8,deny_fbfc89ab,True,40.0,25,15,Deny,['dynamodb:DeleteItem'],"['arn:aws:s3:::bucket/document.txt', 'arn:aws:s3:::bucket', 'arn:aws:s3:::bucket/logs/app.log']"
policy_7_iter_1.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_7_iter_1.json,9,deny_e6526099,True,40.0,25,15,Deny,['s3:GetBucketAcl'],['arn:aws:s3:::completely-different-bucket/file.txt']
policy_7_iter_1.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_7_iter_1.json,10,deny_41905fdb,True,40.0,25,15,Deny,['s3:GetBucketAcl'],['arn:aws:s3:::bucket-forbidden/file.txt']
policy_7_iter_1.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_7_iter_1.json,11,deny_b3141f4b,True,40.0,25,15,Deny,['iam:CreateUser'],['arn:aws:s3:::bucket/document.txt']
policy_7_iter_1.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_7_iter_1.json,12,deny_927fb97a,True,40.0,25,15,Deny,['s3:PutBucketPolicy'],['arn:aws:s3:::bucket-forbidden/file.txt']
policy_7_iter_1.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_7_iter_1.json,13,deny_7882b319,True,40.0,25,15,Deny,['ec2:DescribeInstances'],['arn:aws:s3:::bucket']
policy_7_iter_1.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_7_iter_1.json,14,deny_90bb3417,True,40.0,25,15,Deny,['s3:ListBucket'],['arn:aws:s3:::different-bucket/file.txt']
policy_7_iter_1.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_7_iter_1.json,15,deny_6e715d5d,True,40.0,25,15,Deny,['iam:CreateUser'],['arn:aws:s3:::bucket/document.txt']
