Metric,Value
Policy Name,policy_3_iter_2.json
Policy Index,
Policy File,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_3_iter_2.json
Requests File,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/requests/request-25/3.json
,
Total Statements Analyzed,20
Faulty Statements,20
Working Statements,0
Statement-level Policy Health (%),0.0
,
Total Individual Requests,500
Correct Classifications,217
Incorrect Classifications,283
Overall Accuracy (%),43.4
