Metric,Value
Policy Name,policy_9_iter_1.json
Policy Index,
Policy File,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_9_iter_1.json
Requests File,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/requests/request-25/9.json
,
Total Statements Analyzed,12
Faulty Statements,12
Working Statements,0
Statement-level Policy Health (%),0.0
,
Total Individual Requests,300
Correct Classifications,141
Incorrect Classifications,159
Overall Accuracy (%),47.0
