Metric,Value
Policy Name,policy_8_iter_1.json
Policy Index,
Policy File,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_8_iter_1.json
Requests File,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/requests/request-25/8.json
,
Total Statements Analyzed,16
Faulty Statements,16
Working Statements,0
Statement-level Policy Health (%),0.0
,
Total Individual Requests,400
Correct Classifications,184
Incorrect Classifications,216
Overall Accuracy (%),46.0
