policy_name,policy_index,policy_file,statement_index,statement_id,is_faulty,accuracy,total_requests,failed_requests,statement_effect,statement_action,statement_resource
policy_1_iter_2.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_1_iter_2.json,1,allow_8f7f3575,True,60.0,25,10,Allow,"['sagemaker:DeleteNotebookInstance', 'sagemaker:CreatePresignedNotebookInstanceUrl']","['arn:aws:s3:::my-bucket/document.txt', 'arn:aws:athena:us-east-1:123456789012:workgroup/primary']"
policy_1_iter_2.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_1_iter_2.json,2,allow_32a011e1,True,68.0,25,8,Allow,"['sagemaker:CreatePresignedNotebookInstanceUrl', 'sagemaker:UpdateNotebookInstance', 'sagemaker:ListTags']","['arn:aws:sagemaker:::notebook-instance/logs/app.log', 'arn:aws:athena:us-east-1:123456789012:workgroup/primary']"
policy_1_iter_2.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_1_iter_2.json,3,allow_0352a626,True,44.0,25,14,Allow,['sagemaker:DeleteNotebookInstance'],['arn:aws:sagemaker:::notebook-instance/data/file.json']
policy_1_iter_2.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_1_iter_2.json,4,allow_c2d4a0da,True,56.0,25,11,Allow,"['glue:CreateScript', 'sagemaker:CreatePresignedDomainUrl']","['arn:aws:sagemaker:::notebook-instance/temp/upload.tmp', 'arn:aws:sagemaker:::notebook-instance/document.txt']"
policy_1_iter_2.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_1_iter_2.json,5,deny_1ffd028a,True,40.0,25,15,Deny,"['sagemaker:DeleteNotebookInstance', 'sagemaker:CreatePresignedNotebookInstanceUrl']",['forbidden-arn:aws:sagemaker:::notebook-instance/*-specific']
policy_1_iter_2.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_1_iter_2.json,6,deny_5b7fc015,True,40.0,25,15,Deny,['dynamodb:DeleteItem'],['arn:aws:athena:us-east-1:123456789012:workgroup/primary']
policy_1_iter_2.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_1_iter_2.json,7,deny_2e16213c,True,40.0,25,15,Deny,['sagemaker:ListTags'],['unauthorized/arn:aws:sagemaker:::notebook-instance/*/file.txt']
policy_1_iter_2.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_1_iter_2.json,8,deny_7cb0a9ff,True,40.0,25,15,Deny,['glue:GetDatabase'],['arn:aws:sagemaker:::notebook-instance/logs/app.log']
policy_1_iter_2.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_1_iter_2.json,9,deny_f52dfb8f,True,40.0,25,15,Deny,['sagemaker:StopNotebookInstance'],['arn:aws:sagemaker:::notebook-instance/*-forbidden-resource']
policy_1_iter_2.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_1_iter_2.json,10,deny_e9807ee6,True,40.0,25,15,Deny,"['sagemaker:CreatePresignedDomainUrl', 'glue:CreateScript']",['arn:aws:s3:::forbidden-bucket/document.txt']
policy_1_iter_2.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_1_iter_2.json,11,deny_7fe36354,True,40.0,25,15,Deny,['glue:GetPartitions'],['arn:aws:athena:us-east-1:123456789012:workgroup/primary']
policy_1_iter_2.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_1_iter_2.json,12,deny_d257612d,True,40.0,25,15,Deny,['dynamodb:DeleteItem'],['arn:aws:sagemaker:::notebook-instance/data/file.json']
